"text","label"
"I want to die","suicidal"
"I can't keep going anymore","suicidal"
"I'm planning to end it all tonight","suicidal"
"I wish I was never born","suicidal"
"I've already written my goodbye note","suicidal"
"I don't want to wake up tomorrow","suicidal"
"I have everything ready to do it","suicidal"
"I'm going to kill myself soon","suicidal"
"Farewell everyone","suicidal"
"I'm thinking about jumping off the bridge","suicidal"
"There is no point in living","suicidal"
"I'm ready to quit this life","suicidal"
"I will not be here much longer","suicidal"
"I'm ending my story tonight","suicidal"
"My life feels completely meaningless","suicidal"
"No one would even notice if I was gone","suicidal"
"I feel like a burden to everyone around me","suicidal"
"What's the point of my worthless life?","suicidal"
"I just want the pain to stop forever","suicidal"
"I'm tired of pretending I'm okay","suicidal"
"Everything would be better without me","suicidal"
"I can't see any future for myself","suicidal"
"I'm done fighting every single day","suicidal"
"I want to disappear and never come back","suicidal"
"No one loves me and never will","suicidal"
"I'm so worthless I don't deserve to exist","suicidal"
"The world is better off without me","suicidal"
"I keep thinking about ways to end it","suicidal"
"I feel empty inside and it never stops","suicidal"
"Nothing matters anymore","suicidal"
"I just want to sleep and never wake up","suicidal"
"I'm at the edge and I don't want saving","suicidal"
"My existence is a mistake","suicidal"
"I hate being alive","suicidal"
"Every day feels like too much","suicidal"
"I don't belong here","suicidal"
"I'm ready to let go completely","suicidal"
"There is nothing left worth staying for","suicidal"
"I feel invisible and forgotten","suicidal"
"I want it all to just stop","suicidal"
"I'm exhausted from existing","suicidal"
"No one cares if I live or die","suicidal"
"My life has zero value","suicidal"
"I keep imagining the moment it ends","suicidal"
"I'm too broken to fix","suicidal"
"I wish I could vanish right now","suicidal"
"Everything inside me is dark","suicidal"
"I don't see any reason to continue","suicidal"
"I'm just waiting for the courage","suicidal"
"The thought of ending it brings relief","suicidal"
"I feel like I'm already gone","suicidal"
"Nobody needs me here","suicidal"
"My pain is never going to end","suicidal"
"I'm so tired of hurting","suicidal"
"I want peace and this is the only way","suicidal"
"I'm a failure at everything","suicidal"
"Life has beaten me completely","suicidal"
"I can't take another day of this","suicidal"
"I'm going to make the pain stop tonight","suicidal"
"No future, no hope, no point","suicidal"
"I feel like trash nobody wants","suicidal"
"I'm ready to be nothing","suicidal"
"The loneliness is killing me anyway","suicidal"
"I don't want anyone to find me tomorrow","suicidal"
"I'm planning my exit","suicidal"
"Nothing will ever get better","suicidal"
"I hate looking in the mirror","suicidal"
"My heart is already dead","suicidal"
"I'm just counting down the days","suicidal"
"I want to fade away quietly","suicidal"
"There is only darkness ahead","suicidal"
"I'm too much for this world","suicidal"
"I don't deserve happiness","suicidal"
"Every breath feels pointless","suicidal"
"I'm going to set myself free tonight","suicidal"
"The voices say it's time","suicidal"
"I can't pretend anymore","suicidal"
"My story ends here","suicidal"
"I'm worthless and always will be","suicidal"
"No one will miss me","suicidal"
"I want the silence forever","suicidal"
"I'm tired of being a disappointment","suicidal"
"Everything hurts too much to stay","suicidal"
"I feel ready to leave this place","suicidal"
"There is no light left in me","suicidal"
"I'm going to do it while everyone sleeps","suicidal"
"My life is a waste of space","suicidal"
"I just want it to be over","suicidal"
"I'm broken beyond repair","suicidal"
"Nobody would cry for me","suicidal"
"The pain is louder than everything else","suicidal"
"I'm choosing to stop the suffering","suicidal"
"I don't want to exist another second","suicidal"
"My presence only causes problems","suicidal"
"I'm at peace with saying goodbye","suicidal"
"There is nothing worth saving here","suicidal"
"I feel like I'm already dead inside","suicidal"
"I'm going to make the thoughts stop","suicidal"
"This is my final message","suicidal"
"I can't carry this weight anymore","suicidal"
"Everything hurts so much","suffering"
"The pain is constant and heavy","suffering"
"I feel like I'm drowning in sadness","suffering"
"My soul feels completely empty","suffering"
"I am tired of fighting this battle every day","suffering"
"The loneliness is crushing me","suffering"
"I am in so much emotional pain","suffering"
"I feel broken beyond repair","suffering"
"I can’t stop crying","suffering"
"I am suffocating in grief","suffering"
"I feel so heavy and low all the time","suffering"
"Every day is a struggle just to breathe","suffering"
"I am lost in endless despair","suffering"
"I feel so worthless","suffering"
"The misery never seems to end","suffering"
"I feel like a burden to everyone","suffering"
"The darkness inside me keeps growing","suffering"
"I'm exhausted from hurting all the time","suffering"
"My mind won't stop screaming","suffering"
"Nothing brings any joy anymore","suffering"
"I wake up already tired and sad","suffering"
"Every moment feels agonizing","suffering"
"I'm trapped in this sadness forever","suffering"
"My heart physically aches","suffering"
"I carry this unbearable weight every second","suffering"
"Joy feels impossible now","suffering"
"I'm emotionally numb but still in terrible pain","suffering"
"Hopelessness is swallowing me whole","suffering"
"I feel invisible even when people are around","suffering"
"The sadness is louder than everything else","suffering"
"I can't remember what happy feels like","suffering"
"My chest feels tight all day","suffering"
"I'm so tired of pretending everything is fine","suffering"
"Every thought hurts","suffering"
"I feel hollow inside","suffering"
"The loneliness never leaves","suffering"
"I'm drowning and nobody can see","suffering"
"My body feels heavy like lead","suffering"
"I hurt even when nothing is happening","suffering"
"There is no escape from this feeling","suffering"
"I'm breaking slowly from the inside","suffering"
"The emptiness is eating me alive","suffering"
"I feel crushed under everything","suffering"
"My mind is a storm that never stops","suffering"
"I can't find any peace anywhere","suffering"
"Everything reminds me how much I hurt","suffering"
"I'm so tired of being in pain","suffering"
"The sadness follows me everywhere","suffering"
"I feel like I'm fading away","suffering"
"My days are just endless gray","suffering"
"I hurt too much to even move sometimes","suffering"
"Nothing feels real anymore","suffering"
"I'm stuck in this dark place","suffering"
"The ache never goes away","suffering"
"I feel completely drained","suffering"
"My heart keeps breaking over and over","suffering"
"I'm overwhelmed by everything","suffering"
"I can't carry this anymore","suffering"
"The pain is deeper than words","suffering"
"I feel so small and insignificant","suffering"
"Every breath feels heavy","suffering"
"I'm lost in my own head","suffering"
"The hurt is constant background noise","suffering"
"I don't know how to stop feeling this way","suffering"
"My soul is tired","suffering"
"I'm bleeding inside where no one can see","suffering"
"Everything is too much","suffering"
"I feel shattered into pieces","suffering"
"The sadness has become part of me","suffering"
"I'm so worn out from crying","suffering"
"My mind is heavy with pain","suffering"
"I feel like I'm disappearing slowly","suffering"
"There is only heaviness left","suffering"
"I'm exhausted from feeling everything so deeply","suffering"
"The loneliness echoes inside me","suffering"
"I hurt in places I can't name","suffering"
"My whole body feels sad","suffering"
"I'm trapped under this weight","suffering"
"Nothing can fill this hole","suffering"
"I feel raw and exposed all the time","suffering"
"The pain keeps coming in waves","suffering"
"I'm so tired of hurting alone","suffering"
"My spirit feels crushed","suffering"
"I can't see color anymore","suffering"
"Everything tastes like sadness","suffering"
"I'm hanging on by the thinnest thread","suffering"
"The emptiness is deafening","suffering"
"I feel bruised from the inside out","suffering"
"My heart won't stop aching","suffering"
"I'm drowning in my own thoughts","suffering"
"The hurt is all I know now","suffering"
"I feel so fragile","suffering"
"Every second drags with pain","suffering"
"I'm worn thin from carrying this","suffering"
"The sadness sits on my chest","suffering"
"I can't shake this feeling","suffering"
"My whole being hurts","suffering"
"I'm so done with feeling this way","suffering"
"The pain has no end in sight","suffering"
"Can you help me right now?","need_help"
"I need someone to talk to immediately","need_help"
"Is there a helpline I can call?","need_help"
"Please help me I'm really scared","need_help"
"Can you provide some guidance please?","need_help"
"Where can I find mental health support?","need_help"
"I need urgent assistance tonight","need_help"
"Can you help me get through this night?","need_help"
"I need a therapist right away","need_help"
"Is anyone there to help me?","need_help"
"I need support so badly right now","need_help"
"Can you help me stay safe tonight?","need_help"
"I need a counselor please","need_help"
"Help me please I can't do this alone","need_help"
"Can you give me a suicide hotline number?","need_help"
"I need someone to just listen to me","need_help"
"I'm reaching out for help right now","need_help"
"Can you help me find a doctor or therapist?","need_help"
"Please stay with me I'm not okay","need_help"
"I don't know what to do anymore please help","need_help"
"I need immediate emotional support","need_help"
"Can anyone talk to me right now?","need_help"
"I need crisis help please","need_help"
"Please don't ignore me I need help","need_help"
"I need to talk to someone who understands","need_help"
"Can you guide me through this?","need_help"
"I need real help right this moment","need_help"
"Please help before I do something stupid","need_help"
"I need a safe place to talk right now","need_help"
"Can you recommend any helplines?","need_help"
"I'm asking for help because I can't cope","need_help"
"I need someone on the line with me tonight","need_help"
"Please talk to me I'm falling apart","need_help"
"I need mental health resources urgently","need_help"
"Can you help me find support near me?","need_help"
"I need to speak to someone now please","need_help"
"Help me please I'm in a dark place","need_help"
"I need guidance on what to do next","need_help"
"Can you stay here and keep talking?","need_help"
"I need help getting through today","need_help"
"Please send me some crisis numbers","need_help"
"I'm scared and I need support right now","need_help"
"Can anyone help me feel less alone?","need_help"
"I need professional help urgently","need_help"
"Please help me I'm reaching my limit","need_help"
"I need someone to care right now","need_help"
"Can you tell me where to get help?","need_help"
"I need to vent to someone safe","need_help"
"Please don't leave me alone tonight","need_help"
"I need immediate crisis intervention","need_help"
"Can you help calm me down?","need_help"
"I need help finding a way forward","need_help"
"Please listen I'm really struggling","need_help"
"I need support more than ever right now","need_help"
"Can you point me to mental health services?","need_help"
"I'm begging for someone to respond","need_help"
"I need a lifeline tonight please","need_help"
"Please help me hold on","need_help"
"I need to talk about what's happening","need_help"
"Can you help me before it's too late?","need_help"
"I need someone who won't judge me","need_help"
"Please stay I'm asking for help","need_help"
"I need resources to get better","need_help"
"Can you help me find local support?","need_help"
"I'm reaching out because I'm desperate","need_help"
"I need help right this second","need_help"
"Please talk me through this moment","need_help"
"I need emotional support urgently","need_help"
"Can you give me hope right now?","need_help"
"I need someone to remind me it's okay","need_help"
"Please help I'm overwhelmed","need_help"
"I need guidance to get through tonight","need_help"
"Can you connect me with help?","need_help"
"I'm asking because I can't do this alone","need_help"
"I need a kind voice right now","need_help"
"Please don't let me face this by myself","need_help"
"I need crisis chat or call options","need_help"
"Can you help me feel heard?","need_help"
"I need support to keep going","need_help"
"Please respond I'm really not okay","need_help"
"I need help finding peace tonight","need_help"
"Can anyone offer me some comfort?","need_help"
"I need to know I'm not alone","need_help"
"Please help me right now I'm breaking","need_help"
"I need someone to walk me through this","need_help"
"Can you tell me it's going to be okay?","need_help"
"I'm reaching out in crisis please help","need_help"
"I need immediate someone to talk to","need_help"
"Please stay I'm scared of what I'll do","need_help"
"I need help coping with everything","need_help"
"Can you recommend any hotlines?","need_help"
"I need a safe conversation right now","need_help"
"Please help me I'm hurting so much","need_help"
"I need support to make it through","need_help"
"Can you be here for me tonight?","need_help"
"I'm asking for real help please","need_help"
"I need someone to care tonight","need_help"
"Please guide me I'm lost","need_help"
"I need urgent help finding resources","need_help"
"Can you keep talking until I feel better?","need_help"
"text","label"
"I feel stuck with my routine lately","ok"
"I’ve been overthinking things a bit","ok"
"I’m stressed about my upcoming exams","ok"
"I feel unmotivated this week","ok"
"I’m confused about my career path","ok"
"I am feeling quite tired of work lately","ok"
"I need to figure out my schedule for next month","ok"
"I am a bit worried about my presentation tomorrow","ok"
"I feel like I am procrastinating too much","ok"
"I am having trouble focusing on my book","ok"
"I’m a little annoyed by the weather today","ok"
"I feel like I need a long nap","ok"
"I am struggling to decide what to wear","ok"
"I'm feeling a bit socially drained after the party","ok"
"I need to start eating healthier meals","ok"
"I’m a bit frustrated with my slow internet","ok"
"I feel like I’m in a creative rut right now","ok"
"I am worried about my car’s engine light","ok"
"I feel like I’ve been spending too much money","ok"
"I am a bit overwhelmed by my emails today","ok"
"I’m feeling a little lonely this evening","ok"
"I need to clean my apartment this weekend","ok"
"I am struggling to wake up on time lately","ok"
"I feel like I’m not being productive enough","ok"
"I’m a bit nervous about meeting new people","ok"
"I feel like I need to join a gym","ok"
"I am confused about the instructions for this task","ok"
"I’m feeling a bit bored with my current hobbies","ok"
"I need to call my bank about a transaction","ok"
"I am worried about my phone battery health","ok"
"I feel like I’m losing my focus today","ok"
"I’m a little stressed about holiday shopping","ok"
"I feel like I’m falling behind on my chores","ok"
"I am struggling to find a good movie to watch","ok"
"I’m feeling a bit restless tonight","ok"
"I need to organize my closet soon","ok"
"I am a bit anxious about my dental appointment","ok"
"I feel like I’m drinking too much coffee","ok"
"I’m a little tired of the same old food","ok"
"I feel like I need more sunlight","ok"
"I am worried about missing my flight","ok"
"I’m feeling a bit shy about the event tonight","ok"
"I need to update my computer software","ok"
"I am struggling to finish this assignment","ok"
"I feel like I’m wasting time on social media","ok"
"I’m a bit frustrated with my roommate","ok"
"I feel like I need a change of scenery","ok"
"I am worried about my upcoming performance review","ok"
"I’m feeling a little out of loop with friends","ok"
"I need to buy a gift for my sister’s birthday","ok"
"I am struggling to save money this month","ok"
"I feel like my brain is a bit foggy today","ok"
"I’m a little annoyed with the traffic today","ok"
"I feel like I need to spend more time outdoors","ok"
"I am worried about my plants dying","ok"
"I’m feeling a bit indecisive about this choice","ok"
"I need to renew my driver's license","ok"
"I am struggling to stay hydrated lately","ok"
"I feel like I’m talking too much in meetings","ok"
"I’m a bit stressed about the house repairs","ok"
"I feel like I need a new hobby","ok"
"I am worried about the cost of groceries","ok"
"I’m feeling a little sensitive today","ok"
"I need to find a better morning routine","ok"
"I am struggling to keep my desk organized","ok"
"I feel like I’m always running late","ok"
"I’m a bit frustrated with my current project","ok"
"I feel like I need to get more sleep","ok"
"I am worried about the loud noise outside","ok"
"I’m feeling a bit disconnected from work","ok"
"I need to book a haircut for next week","ok"
"I am struggling to understand this math problem","ok"
"I feel like I’m not getting enough exercise","ok"
"I’m a little worried about my credit score","ok"
"I feel like I’m losing interest in this show","ok"
"I am worried about the scratch on my car","ok"
"I’m feeling a bit overwhelmed by the laundry","ok"
"I need to sort through my old clothes","ok"
"I am struggling to find the right words today","ok"
"I feel like I’m stuck in a loop","ok"
"I’m a bit nervous about the road trip","ok"
"I feel like I need a quiet day to myself","ok"
"I am worried about my laptop overheating","ok"
"I’m feeling a bit impatient today","ok"
"I need to check the air pressure in my tires","ok"
"I am struggling to stay on my diet","ok"
"I feel like I’m being a bit too critical","ok"
"I’m a little stressed about the dinner party","ok"
"I feel like I need to learn a new skill","ok"
"I am worried about my phone screen cracking","ok"
"I’m feeling a bit clumsy today","ok"
"I need to buy more light bulbs","ok"
"I am struggling to choose a career path","ok"
"I feel like I’m not being very helpful today","ok"
"I’m a bit worried about my posture","ok"
"I feel like I’m spending too much time indoors","ok"
"I am worried about the rainy season starting","ok"
"I’m feeling a bit uninspired at the moment","ok"
"I need to pay my electricity bill tonight","ok"
"I am struggling to wake up without an alarm","ok"
"Just finished dinner","not_help"
"Listening to music right now","not_help"
"Had a long day today","not_help"
"Watching the clouds","not_help"
"Scrolling through my phone","not_help"
"Drinking a glass of water","not_help"
"The sun is shining through the window","not_help"
"I'm wearing my favorite hoodie","not_help"
"Just got home from the store","not_help"
"Sitting on the front porch","not_help"
"The coffee is finally brewing","not_help"
"Looking at some old photos","not_help"
"Waiting for the bus to arrive","not_help"
"My dog is chasing its tail","not_help"
"I just painted my nails","not_help"
"The birds are loud this morning","not_help"
"I'm thinking about what to wear tomorrow","not_help"
"Just finished a workout","not_help"
"The streetlights just came on","not_help"
"Reading the news on my tablet","not_help"
"I'm walking to the kitchen","not_help"
"Just put a fresh load in the laundry","not_help"
"The sky looks very orange today","not_help"
"I'm eating a green apple","not_help"
"Just watered my desk plant","not_help"
"The fan is making a humming noise","not_help"
"I'm organizing my desktop icons","not_help"
"Just took a hot shower","not_help"
"The cat is staring out the window","not_help"
"I'm charging my wireless headphones","not_help"
"Just sent a text to my brother","not_help"
"The grass looks like it needs cutting","not_help"
"I'm putting on my sneakers","not_help"
"Just finished a chapter of my book","not_help"
"The moon is very bright tonight","not_help"
"I'm waiting for my toast to pop up","not_help"
"Just checked the mail","not_help"
"The neighbors are mowing their lawn","not_help"
"I'm drawing in my sketchbook","not_help"
"Just turned off the TV","not_help"
"The tea is still too hot to drink","not_help"
"I'm sitting on the floor","not_help"
"Just opened a new bag of chips","not_help"
"The wind is blowing the curtains","not_help"
"I'm looking for my sunglasses","not_help"
"Just brushed my teeth","not_help"
"The clock is ticking on the wall","not_help"
"I'm typing this on a laptop","not_help"
"Just saw a squirrel on the fence","not_help"
"The radiator is clicking","not_help"
"I'm tying my shoelaces","not_help"
"Just turned on the lamp","not_help"
"The floor feels cold on my feet","not_help"
"I'm checking the weather for tomorrow","not_help"
"Just made a sandwich","not_help"
"The city sounds are busy tonight","not_help"
"I'm watching a documentary about space","not_help"
"Just found a coin on the ground","not_help"
"The flowers in the vase are wilting","not_help"
"I'm stretching my arms","not_help"
"Just finished a puzzle","not_help"
"The shadows are getting longer","not_help"
"I'm putting on some lip balm","not_help"
"Just heard a car drive by","not_help"
"The ice cubes are melting in my drink","not_help"
"I'm cleaning my glasses","not_help"
"Just rearranged my furniture","not_help"
"The oven is preheating","not_help"
"I'm looking at the stars","not_help"
"Just hung up my coat","not_help"
"The rain is tapping on the roof","not_help"
"I'm smelling the fresh air","not_help"
"Just changed the batteries in the remote","not_help"
"The carpet is soft","not_help"
"I'm sipping some peppermint tea","not_help"
"Just saw a plane in the sky","not_help"
"The door is slightly ajar","not_help"
"I'm wearing mismatched socks","not_help"
"Just lit a scented candle","not_help"
"The fridge is humming","not_help"
"I'm flipping through a magazine","not_help"
"Just washed my hands","not_help"
"The pillow feels cool","not_help"
"I'm waiting for a file to download","not_help"
"Just saw a ladybug","not_help"
"The leaves are rustling outside","not_help"
"I'm writing with a blue pen","not_help"
"Just adjusted my chair","not_help"
"The water in the pot is boiling","not_help"
"I'm looking at a map","not_help"
"Just put on a pair of slippers","not_help"
"The mirror is a bit dusty","not_help"
"I'm peeling an orange","not_help"
"Just closed the blinds","not_help"
"The towel is fluffy","not_help"
"I'm watching the rain fall","not_help"
"Just tied my hair back","not_help"
"The laptop fan is loud","not_help"
"I'm leaning against the wall","not_help"
"Just finished my morning coffee","not_help"